Date,Steps,Weight,Weight Time
2012/08/26,3405,,
2012/08/27,7831,,
2012/08/28,11342,207,08:38:00
2012/08/29,9028,203,12:48:00
2012/08/30,7937,201.3,08:52:00
2012/08/31,16709,203.8,08:30:00
2012/09/01,14570,205.6,08:30:00
2012/09/02,11304,202.6,08:31:00
